#sp   rion       Nb        pii      Viw
302 4.167667 1.040575 0.02132089 -218.211
303 4.168188 1.042487 0.02131222 -218.744
304 4.168966 1.041922 0.02132449 -218.416
305 4.169588 1.042788 0.02132687 -218.668
306 4.319852 1.051604 0.02171304 -208.134
307 4.167980 1.042832 0.02130896 -218.548
308 4.167428 1.042015 0.02131656 -218.542
309 4.352093 0.992607 0.02119869 -215.287
310 4.354622 0.992350 0.02118199 -215.175
311 4.170451 1.040115 0.02134254 -218.715
312 4.164782 1.041297 0.02130050 -218.452
313 4.707990 0.985606 0.02331446 -226.999
314 4.168959 1.040451 0.02130017 -218.286
315 4.707832 0.987089 0.02331346 -227.174
316 4.708663 0.985001 0.02330984 -227.069
317 4.707133 0.987860 0.02331242 -227.134
318 4.168497 1.040326 0.02131327 -218.374
319 4.167521 1.041960 0.02131021 -218.601
320 4.707390 0.988051 0.02331923 -226.849
321 4.707763 0.986045 0.02330768 -226.860
322 4.706506 0.988970 0.02330547 -227.551
323 4.707238 0.987928 0.02331128 -227.535
324 4.717697 0.993738 0.02365158 -239.623
325 4.715114 0.993425 0.02363548 -239.004
326 4.716826 0.994268 0.02364394 -239.484
327 4.716691 0.993524 0.02365247 -239.148
328 4.708162 0.985796 0.02330662 -226.972
329 4.706572 0.985838 0.02330998 -227.108
330 4.707946 0.986007 0.02331448 -227.254
331 4.708123 0.984840 0.02330936 -227.375
332 4.708117 0.987795 0.02332405 -227.341
333 4.706836 0.987103 0.02330855 -227.409
334 4.708198 0.986134 0.02332395 -227.060
335 4.428808 1.167439 0.02133565 -238.353
336 4.038348 1.179144 0.02072726 -220.154
337 4.426845 1.163369 0.02132314 -238.454
338 4.428223 1.161656 0.02133968 -238.042
339 4.036739 1.170867 0.02070238 -219.834
340 4.036229 1.177255 0.02069934 -219.492
341 4.036382 1.178218 0.02073249 -219.578
342 4.036548 1.181162 0.02069418 -219.620
343 4.204025 1.020631 0.02253959 -235.715
344 4.206739 1.021303 0.02255789 -235.480
345 4.035714 1.178219 0.02070283 -219.541
346 4.206183 1.021671 0.02253608 -235.728
347 4.207856 1.021167 0.02255118 -235.871
348 4.206937 1.021601 0.02255660 -235.921
349 4.205487 1.021235 0.02256231 -236.038
350 4.037975 1.178112 0.02074344 -220.012
351 3.964622 0.999008 0.01571052 -197.441
352 3.963600 0.996955 0.01568322 -197.214
353 3.962962 1.000056 0.01571046 -197.408
354 4.076185 1.052358 0.01975334 -221.781
355 4.129255 1.207739 0.02162046 -223.454
356 4.211013 1.383429 0.02035234 -220.070
357 4.128979 1.208084 0.02160022 -223.509
358 4.129618 1.209468 0.02163104 -223.346
359 4.210367 1.382090 0.02034344 -219.913
360 4.211266 1.386412 0.02034497 -220.500
361 4.128322 1.209181 0.02159849 -223.255
362 4.128699 1.209157 0.02161319 -223.319
363 4.129331 1.208585 0.02160599 -223.066
364 4.193865 1.243529 0.02096075 -216.604
365 4.189717 1.150647 0.02342653 -215.097
366 4.451501 1.090569 0.02442649 -215.830
367 4.451190 1.090533 0.02443304 -215.687
368 4.332993 1.193137 0.02389465 -229.451
369 4.333189 1.194322 0.02389223 -229.643
370 4.335024 1.192994 0.02389416 -229.026
371 4.289232 1.202006 0.02185677 -208.654
372 4.334580 1.192833 0.02390005 -229.725
373 4.334049 1.193196 0.02388980 -229.370
374 4.123641 1.268592 0.02096560 -201.494
375 4.122390 1.269040 0.02098759 -201.559
376 4.121576 1.271417 0.02095780 -201.725
377 4.124115 1.268058 0.02096137 -201.798
378 4.122457 1.271275 0.02097422 -201.994
379 4.123775 1.267429 0.02095756 -201.514
380 4.121824 1.270597 0.02097143 -201.760
381 4.122010 1.272461 0.02097183 -201.955
382 4.253590 0.885182 0.02103789 -209.789
383 4.124152 1.269878 0.02098358 -202.015
384 4.124339 1.269952 0.02098137 -201.796
385 4.253661 0.880070 0.02104880 -209.759
386 4.122679 1.269560 0.02097826 -201.805
387 4.254056 0.880354 0.02100689 -209.733
