#sp   rion       Nb        pii      Viw
184 4.400511 0.996702 0.01938973 -207.713
185 4.401426 0.996684 0.01940441 -207.770
186 4.479798 1.007342 0.02137207 -200.332
187 4.402672 0.996590 0.01939909 -207.849
188 4.479960 1.007507 0.02137058 -200.178
189 4.479692 1.007983 0.02137702 -200.045
190 4.400839 0.996645 0.01940139 -207.834
191 4.479095 1.007472 0.02137905 -200.410
192 4.402138 0.996593 0.01940515 -208.065
193 4.479316 1.007497 0.02136471 -200.570
194 4.481715 1.007276 0.02138542 -200.465
195 4.479722 1.007725 0.02138153 -200.583
196 4.478777 1.007662 0.02138686 -200.036
197 4.480305 1.007268 0.02137564 -200.097
198 4.400130 0.996661 0.01940708 -208.019
199 4.404206 0.996647 0.01940936 -207.907
200 4.480245 1.007512 0.02136860 -200.315
201 4.398830 0.996837 0.01940234 -207.834
202 4.482062 1.007413 0.02138942 -200.400
203 4.400714 0.996569 0.01936713 -207.776
204 4.402659 0.996605 0.01938685 -207.786
205 4.401369 0.996580 0.01937885 -208.119
206 4.401509 0.996588 0.01939286 -207.774
207 4.168732 0.988428 0.01668311 -204.858
208 4.167541 0.988412 0.01667040 -205.136
209 4.265780 1.008194 0.02228932 -216.638
210 4.266072 1.008288 0.02225951 -216.255
211 4.265534 1.008092 0.02224513 -215.890
212 4.266333 1.008528 0.02228543 -216.321
213 4.266176 1.008241 0.02225544 -216.295
214 4.266535 1.008293 0.02227740 -216.393
215 4.494181 0.994127 0.02155421 -231.560
216 4.494057 0.994238 0.02156572 -231.662
217 4.495195 0.994051 0.02154737 -231.598
218 4.266800 1.008208 0.02228595 -216.517
219 4.494708 0.994181 0.02155666 -231.696
220 4.494954 0.994074 0.02153503 -231.753
221 4.267238 1.008144 0.02228035 -216.660
222 4.265389 1.008169 0.02226098 -216.263
223 4.494425 0.994084 0.02154391 -231.806
224 4.265688 1.008200 0.02226080 -216.175
225 4.495106 0.994237 0.02156958 -231.870
226 4.494236 0.994269 0.02155868 -231.769
227 4.267141 1.008237 0.02228146 -216.351
228 4.493249 0.994243 0.02154212 -231.648
229 4.265832 1.008272 0.02226431 -216.490
