#sp   rion       Nb        pii      Viw
320 4.707631 0.986821 0.02331131 -227.136
321 4.707623 0.986818 0.02331127 -227.134
322 4.707633 0.986815 0.02331132 -227.134
323 4.707638 0.986815 0.02331141 -227.134
324 4.716603 0.993896 0.02364928 -239.401
325 4.716591 0.993895 0.02364921 -239.404
326 4.716593 0.993895 0.02364912 -239.403
327 4.716594 0.993896 0.02364919 -239.403
328 4.707618 0.986818 0.02331132 -227.133
329 4.707642 0.986816 0.02331142 -227.134
330 4.707623 0.986818 0.02331133 -227.133
331 4.707623 0.986821 0.02331135 -227.134
332 4.707615 0.986813 0.02331122 -227.134
333 4.707626 0.986815 0.02331125 -227.134
334 4.707640 0.986815 0.02331142 -227.134
335 4.427531 1.164977 0.02133538 -238.196
336 4.037007 1.177340 0.02070754 -219.839
337 4.427520 1.164974 0.02133538 -238.216
338 4.427522 1.164978 0.02133530 -238.220
339 4.037032 1.177339 0.02070774 -219.839
340 4.037005 1.177353 0.02070751 -219.839
341 4.037026 1.177584 0.02070728 -219.827
342 4.037023 1.177586 0.02070731 -219.828
343 4.206193 1.021068 0.02254836 -235.885
344 4.206165 1.021068 0.02254823 -235.884
345 4.037015 1.177584 0.02070725 -219.828
346 4.206176 1.021067 0.02254825 -235.885
347 4.206168 1.021068 0.02254824 -235.885
348 4.206165 1.021068 0.02254815 -235.886
349 4.206180 1.021066 0.02254817 -235.884
350 4.037020 1.177583 0.02070751 -219.828
351 3.964901 0.998331 0.01570588 -197.387
352 3.964896 0.998338 0.01570594 -197.373
353 3.964884 0.998336 0.01570582 -197.374
354 4.077015 1.052734 0.01977353 -221.840
355 4.129502 1.208960 0.02160596 -223.416
356 4.210415 1.384321 0.02034637 -220.124
357 4.129509 1.208955 0.02160600 -223.416
358 4.129511 1.208958 0.02160589 -223.414
359 4.210389 1.384335 0.02034623 -220.122
360 4.210406 1.384344 0.02034639 -220.123
361 4.129500 1.208959 0.02160589 -223.415
362 4.129491 1.208990 0.02160597 -223.416
363 4.129495 1.208966 0.02160582 -223.416
364 4.194944 1.241975 0.02097931 -216.448
365 4.190688 1.150951 0.02343459 -215.231
366 4.452386 1.090846 0.02443426 -215.397
367 4.452388 1.090868 0.02443468 -215.397
368 4.333755 1.193163 0.02388835 -229.391
369 4.333784 1.193174 0.02388857 -229.394
370 4.333772 1.193168 0.02388844 -229.394
371 4.291003 1.202105 0.02187886 -208.651
372 4.333777 1.193185 0.02388853 -229.393
373 4.333760 1.193181 0.02388830 -229.395
374 4.122702 1.270089 0.02096911 -201.867
375 4.122710 1.270132 0.02096908 -201.868
376 4.122700 1.270141 0.02096889 -201.868
377 4.122695 1.270130 0.02096894 -201.868
378 4.122696 1.270136 0.02096893 -201.868
379 4.122706 1.270151 0.02096902 -201.868
380 4.122717 1.270110 0.02096913 -201.867
381 4.122699 1.270142 0.02096909 -201.868
382 4.253944 0.882869 0.02102904 -209.745
383 4.122713 1.270110 0.02096923 -201.867
384 4.122710 1.270116 0.02096902 -201.868
385 4.253953 0.882850 0.02102903 -209.744
386 4.122703 1.270130 0.02096907 -201.866
387 4.253939 0.882858 0.02102903 -209.742
388 4.122694 1.270151 0.02096902 -201.867
389 4.154210 1.032501 0.01955028 -201.026
390 4.192425 0.853454 0.01918528 -201.480
391 4.192424 0.853476 0.01918549 -201.479
392 4.154205 1.032485 0.01955034 -201.004
393 4.192428 0.853467 0.01918549 -201.481
394 4.192441 0.853461 0.01918521 -201.481
395 4.064902 1.110689 0.01670441 -197.157
396 4.192436 0.853470 0.01918523 -201.481
397 4.192422 0.853446 0.01918498 -201.480
398 4.471741 0.696915 0.01873497 -201.277
399 4.471734 0.696927 0.01873507 -201.296
400 4.471739 0.696930 0.01873507 -201.278
401 4.471736 0.696933 0.01873509 -201.295
402 4.648721 0.188993 0.02116935 -212.296
403 4.471720 0.696912 0.01873497 -201.297
404 4.471737 0.696933 0.01873509 -201.296
405 4.471731 0.696932 0.01873500 -201.277
406 4.202439 0.779673 0.01839703 -208.505
407 4.202425 0.779686 0.01839714 -208.499
408 4.202448 0.779648 0.01839714 -208.498
409 3.893896 0.992277 0.01660825 -190.732
410 3.893890 0.992264 0.01660836 -190.734
411 3.893891 0.992262 0.01660833 -190.733
412 4.180858 0.676756 0.01697813 -206.479
413 4.180862 0.676679 0.01697783 -206.479
414 4.168219 0.719326 0.01692671 -219.076
415 3.967976 0.958345 0.01654740 -223.696
416 4.054402 0.815138 0.01747103 -213.372
417 3.967966 0.958366 0.01654702 -223.679
418 3.965346 1.213496 0.01811328 -211.610
419 3.965327 1.213498 0.01811369 -211.603
420 3.760072 1.137296 0.01700742 -204.582
421 3.760068 1.137311 0.01700745 -204.589
422 3.760062 1.137302 0.01700721 -204.589
423 3.675847 1.096383 0.01414047 -205.732
424 3.675855 1.096381 0.01414051 -205.733
425 3.675848 1.096395 0.01414057 -205.733
426 3.675861 1.096380 0.01414080 -205.733
427 3.616244 1.101293 0.01158264 -191.997
428 3.616245 1.101295 0.01158274 -191.995
429 3.616228 1.101305 0.01158253 -191.995
430 3.781606 0.894717 0.01305956 -205.335
431 3.621971 1.417629 0.01238975 -190.584
432 3.781621 0.894574 0.01305959 -205.332
433 3.781615 0.894575 0.01305968 -205.332
434 3.781609 0.894582 0.01305954 -205.331
435 3.695330 0.729321 0.01195367 -179.309
436 3.695333 0.729332 0.01195388 -179.309
437 3.514457 0.849335 0.00813970 -185.105
438 3.514444 0.849265 0.00813977 -185.106
439 3.493259 0.261334 0.00771844 -176.465
440 3.493262 0.261335 0.00771841 -176.466
441 3.493257 0.261342 0.00771841 -176.466
442 3.493273 0.261318 0.00771853 -176.466
443 3.493263 0.261329 0.00771849 -176.466
444 3.493262 0.261344 0.00771846 -176.466
445 3.493256 0.261333 0.00771839 -176.467
446 3.493256 0.261341 0.00771839 -176.467
447 3.493264 0.261331 0.00771842 -176.466
448 3.493271 0.261328 0.00771860 -176.466
449 3.554594 0.293223 0.00849720 -188.647
450 3.554607 0.293231 0.00849745 -188.648
451 3.799259 0.481109 0.00907524 -184.519
452 3.799248 0.481098 0.00907482 -184.517
453 3.799266 0.481103 0.00907503 -184.514
454 3.799256 0.481110 0.00907506 -184.516
455 3.627351 0.771837 0.00943322 -190.845
456 3.371435 1.047929 0.00878687 -169.762
457 3.371437 1.047928 0.00878666 -169.760
458 3.627346 0.771833 0.00943311 -190.845
459 3.627359 0.771832 0.00943332 -190.834
460 3.627347 0.771839 0.00943317 -190.843
461 3.534309 0.990353 0.00935441 -180.164
462 3.534308 0.990354 0.00935437 -180.163
463 3.534297 0.990354 0.00935428 -180.163
464 3.316952 1.056899 0.00663093 -184.048
465 3.387116 1.049102 0.01070597 -186.672
466 3.316970 1.056900 0.00663109 -184.047
467 3.316948 1.056897 0.00663084 -184.047
468 3.316955 1.056901 0.00663099 -184.047
469 3.256775 0.815531 0.00688512 -163.972
470 3.316962 1.056901 0.00663095 -184.047
471 3.398972 0.987281 0.00677933 -187.770
472 3.183753 1.130705 0.00553367 -170.115
473 3.398978 0.987280 0.00677921 -187.769
474 3.398965 0.987285 0.00677909 -187.772
475 3.398972 0.987285 0.00677921 -187.770
476 3.183751 1.130684 0.00553359 -170.114
477 3.398973 0.987283 0.00677915 -187.772
478 3.183755 1.130680 0.00553365 -170.115
479 3.183763 1.130691 0.00553372 -170.115
480 3.398963 0.987285 0.00677906 -187.770
481 3.183753 1.130688 0.00553361 -170.115
482 3.183747 1.130696 0.00553362 -170.115
483 3.170575 1.195018 0.00662223 -175.245
484 3.183750 1.130710 0.00553366 -170.115
485 3.170620 1.179138 0.00585719 -181.635
486 3.183758 1.130701 0.00553366 -170.115
487 3.183766 1.130675 0.00553370 -170.115
488 3.170613 1.179151 0.00585712 -181.637
489 3.170623 1.179142 0.00585710 -181.637
490 3.170611 1.179141 0.00585704 -181.637
491 3.279605 1.127787 0.00821750 -192.692
492 3.279601 1.127800 0.00821758 -192.688
493 2.966292 1.067199 0.00412299 -155.958
494 3.279630 1.127790 0.00821788 -192.688
495 2.966295 1.067197 0.00412292 -155.967
496 2.966292 1.067179 0.00412280 -155.948
497 2.966287 1.067188 0.00412282 -155.947
498 2.966300 1.067183 0.00412299 -155.949
499 3.261620 1.069057 0.00707682 -180.268
500 3.249876 0.831386 0.00741508 -175.707
501 3.249882 0.831387 0.00741527 -175.705
502 3.249888 0.831388 0.00741541 -175.704
503 3.238717 1.015294 0.00769005 -174.773
504 3.332014 0.948439 0.00973174 -179.705
505 3.332017 0.948440 0.00973174 -179.705
506 3.238726 1.015296 0.00769027 -174.773
507 3.238718 1.015294 0.00769023 -174.775
508 3.240236 0.964103 0.00796271 -177.828
509 3.240225 0.964109 0.00796265 -177.828
510 3.238720 1.015298 0.00769030 -174.758
511 3.238716 1.015293 0.00769012 -174.773
512 3.240226 0.964108 0.00796267 -177.827
513 3.240219 0.964106 0.00796244 -177.828
514 3.364532 1.001510 0.00860066 -195.169
515 3.240203 0.964109 0.00796243 -177.827
516 3.240229 0.964108 0.00796272 -177.827
517 3.065488 1.009803 0.00557276 -174.166
518 3.240224 0.964114 0.00796276 -177.827
519 3.240223 0.964108 0.00796254 -177.827
520 3.240231 0.964107 0.00796255 -177.827
521 3.240231 0.964109 0.00796269 -177.827
522 3.065479 1.009803 0.00557276 -174.160
523 3.240221 0.964109 0.00796257 -177.827
524 3.065481 1.009804 0.00557279 -174.165
525 3.065477 1.009811 0.00557278 -174.163
526 3.065466 1.009811 0.00557257 -174.161
527 3.065475 1.009813 0.00557274 -174.158
528 2.797199 1.007261 0.00377296 -159.731
529 2.797196 1.007261 0.00377297 -159.735
530 2.797192 1.007261 0.00377274 -159.731
531 2.797201 1.007261 0.00377286 -159.731
532 3.065473 1.009812 0.00557280 -174.160
533 3.065485 1.009808 0.00557273 -174.161
534 3.065475 1.009813 0.00557283 -174.161
535 2.797189 1.007260 0.00377279 -159.729
536 2.797203 1.007261 0.00377296 -159.731
537 3.065475 1.009810 0.00557270 -174.158
538 3.065477 1.009810 0.00557282 -174.161
539 2.797195 1.007260 0.00377295 -159.731
540 3.065480 1.009809 0.00557271 -174.158
541 3.065467 1.009811 0.00557264 -174.160
542 3.414511 0.861268 0.00907880 -182.566
543 3.689317 0.974769 0.01141462 -197.517
544 3.474809 0.808615 0.00808830 -199.992
545 3.474802 0.808609 0.00808828 -199.994
546 3.329772 1.008397 0.00845245 -181.989
547 3.329766 1.008396 0.00845226 -181.986
548 3.329781 1.008395 0.00845233 -181.985
549 3.374567 1.001108 0.00784399 -172.604
550 3.650305 0.996247 0.01187110 -192.719
551 3.566000 1.022688 0.01340897 -191.642
552 3.565993 1.022689 0.01340874 -191.645
553 3.708188 0.962874 0.01143728 -173.055
554 3.565994 1.022686 0.01340879 -191.645
555 3.708194 0.962877 0.01143738 -173.054
556 3.708190 0.962878 0.01143731 -173.055
557 3.708180 0.962863 0.01143718 -173.050
558 3.708203 0.962865 0.01143757 -173.052
559 3.708196 0.962860 0.01143735 -173.052
560 3.807367 1.003384 0.01734390 -186.373
561 3.807379 1.003385 0.01734402 -186.371
562 3.807389 1.003384 0.01734424 -186.370
563 3.692243 0.995962 0.01349902 -187.519
564 3.807374 1.003383 0.01734403 -186.371
565 3.807372 1.003385 0.01734409 -186.373
566 3.692243 0.995961 0.01349896 -187.519
567 3.759084 0.976555 0.01237488 -180.744
568 3.686776 1.024302 0.01228730 -192.184
569 3.759063 0.976553 0.01237459 -180.744
570 3.759062 0.976552 0.01237451 -180.743
571 3.759071 0.976550 0.01237451 -180.743
572 3.759067 0.976553 0.01237457 -180.743
573 3.759074 0.976551 0.01237457 -180.742
574 3.688829 1.049004 0.01591873 -202.138
575 3.688842 1.048998 0.01591915 -202.138
576 3.688854 1.049000 0.01591922 -202.137
577 3.724652 1.012689 0.01488419 -208.216
578 4.078586 1.034332 0.01874896 -215.470
579 3.723802 1.084439 0.01245621 -204.594
580 3.612808 1.036078 0.01273736 -187.547
581 3.612807 1.036077 0.01273734 -187.554
582 3.723811 1.084437 0.01245649 -204.593
583 3.612813 1.036072 0.01273745 -187.554
584 3.723812 1.084438 0.01245641 -204.593
585 3.723806 1.084443 0.01245648 -204.593
586 3.612812 1.036077 0.01273747 -187.549
587 3.612795 1.036078 0.01273714 -187.542
588 3.678604 0.953766 0.01302733 -198.337
589 3.646014 0.992582 0.01395607 -204.273
590 3.678611 0.953793 0.01302705 -198.335
591 3.646003 0.992583 0.01395605 -204.271
592 3.646020 0.992580 0.01395614 -204.272
593 3.646131 1.021125 0.01418542 -204.632
594 3.949704 1.007503 0.01907086 -228.274
595 4.032854 1.012805 0.01700217 -203.777
596 3.759690 1.013459 0.01482315 -215.834
597 4.032832 1.012818 0.01700270 -203.780
598 3.759697 1.013460 0.01482312 -215.823
599 3.813003 1.037153 0.01636507 -202.500
600 3.687199 1.017762 0.01265917 -209.522
601 3.813015 1.037151 0.01636492 -202.496
602 3.927756 1.074597 0.01745397 -222.918
603 3.927753 1.074609 0.01745408 -222.915
604 3.927741 1.074613 0.01745417 -222.914
605 4.110126 1.015757 0.01641763 -207.410
